ID Size
01 500,370,280
02 330,310,264
03 485,460,295
04 380,345,280
05 320,265,254
07 360,345,264
08 505,310,290
09 480,265,270
10 480,310,268
11 430,418,265
12 485,380,280
13 450,325,275
14 425,330,285
15 495,320,280
16 590,360,285
17 650,380,280
18 630,375,275
51 480,370,280
52 550,390,280
53 450,370,280
54 510,380,280
55 400,330,280
56 520,390,280
57 520,350,280
58 560,380,280
59 520,350,280
60 520,380,280
61 390,360,280
62 350,250,280
63 360,280,280
64 500,480,280
65 480,330,280
66 500,400,280
67 500,330,280
68 520,420,280
69 420,300,280
70 350,330,280
71 500,430,280
72 430,320,280
73 520,400,280
74 500,400,280
75 510,320,280
76 520,340,280
77 390,310,280
78 390,310,280
79 500,380,280
80 410,300,280
